temperature humidity light_intensity
23 51 44.7
23 51 44.5
23 51 44.7
23 51 44.9
22 48 44.9
22 48 44.4
22 48 44.2
22 48 44.5
22 48 12.5
22 48 18.9
22 48 18.9
22 48 40.0
22 48 61.4
22 48 63.6
22 48 63.8
22 48 62.4
22 48 63.3
22 48 43.2
22 48 44.1
22 48 42.9
22 48 42.2
22 53 41.3
22 53 41.1
22 53 40.9
22 53 36.5
23 69 37.0
23 69 40.4
23 69 44.6
23 69 45.0
23 72 44.8
23 72 45.2
23 71 44.7
23 71 44.8
23 69 11.7
23 69 44.6
23 67 41.7
23 67 39.8
23 67 47.1
23 67 45.7
23 61 38.5
23 61 36.3
24 59 9.2
24 59 5.3
24 57 98.5
24 57 98.5
23 56 99.1
23 56 13.0
23 54 6.9
23 54 26.3
23 53 45.6
23 53 42.3
23 53 47.9
23 53 44.0
23 53 42.6
23 52 40.3
23 52 46.3
23 52 50.4
23 50 52.4
23 50 45.6
23 50 34.2
23 50 36.1
23 49 51.9
23 49 47.9
23 49 47.8
23 49 53.2
23 49 53.1
23 49 48.8
23 49 49.4
23 49 44.4
23 48 47.5
23 48 22.4
23 48 44.6
23 48 41.8
23 48 38.2
23 48 39.7
23 57 38.4
23 57 38.7
23 56 38.5
23 56 41.4
23 56 38.7
23 54 38.8
23 54 39.0
23 63 39.2
23 63 39.4
23 63 40.6
23 61 43.3
23 61 43.8
23 60 41.4
23 60 38.3
23 60 37.6
25 80 38.0
25 80 38.3
27 84 39.3
27 84 41.6
27 86 43.6
27 86 44.4
27 86 45.0
27 86 44.5
26 86 43.0
26 86 42.1
26 86 42.2
26 85 42.1
26 85 42.0
25 85 42.0
25 85 41.8
25 85 42.1
25 85 42.3
25 84 42.5
25 84 43.6
25 84 43.9
25 84 44.0
25 84 43.9
24 82 44.6
24 82 43.9
24 82 45.0
24 81 45.2
24 81 45.0
24 80 45.2
24 80 45.3
24 80 44.8
24 79 44.7
24 79 44.9
24 79 44.7
24 77 45.0
24 77 45.0
24 76 44.5
24 76 44.3
24 76 44.7
24 73 44.4
24 73 44.6
24 73 44.7
24 73 44.4
24 73 44.4
24 73 44.9
24 71 44.4
24 71 44.3
24 70 44.7
24 70 43.2
24 70 43.9
24 69 44.4
24 69 44.3
24 69 44.3
24 67 44.2
24 67 44.1
24 67 44.1
24 67 44.2
24 67 43.9
23 63 44.0
23 63 44.0
23 63 44.4
23 63 44.5
23 62 44.2
23 62 44.3
23 62 44.5
23 60 44.4
23 60 44.5
23 60 44.5
23 60 44.5
23 59 44.2
23 59 44.4
23 59 44.8
23 59 44.9
23 58 54.4
23 58 67.4
23 58 71.0
23 58 61.2
23 58 44.6
23 57 44.7
23 57 32.9
23 56 16.6
23 56 22.8
23 56 18.0
23 56 20.2
23 56 21.8
23 55 44.9
23 55 45.1
23 55 45.0
23 55 45.1
23 55 45.2
23 55 44.9
23 54 44.9
23 54 44.8
23 54 44.9
23 54 45.3
23 54 44.1
23 54 44.3
23 54 44.6
23 54 44.6
23 54 44.6
